,index,GAIN,MICE,MISSFOREST,AutoEncoder,MostFrequent
0, workclass,0.005022930770910679,0.5868093470189998,0.27407730945621317,0.28237606464293513,0.3037781174929024
1, education,0.018880497556641493,0.7998667258996002,0.38427365615282094,0.3371834740115504,0.6714793425144381
2, marital-status,0.005636978579481398,0.6119503945885005,0.28365276211950397,0.3282976324689966,0.5379932356257047
3, occupation,0.018069634200088145,0.8957690612604672,0.6828999559277215,0.7822829440282063,0.875716174526223
4, relationship,0.0026672593909757725,0.6950433429651034,0.3251833740831296,0.39631029117581684,0.6012447210491221
5, race,0.01115822361080116,0.2577549654095068,0.1434947556349029,0.14416424905155098,0.14416424905155098
6, sex,0.0002243661655822302,0.39196769127215614,0.24253982499439083,0.26542517388377834,0.33991474085707873
7, native-country,0.04792606920266495,0.22974425102084678,0.09649688373092628,0.09413281753707285,0.09778637438211907
